"Plot Title: 11009653"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009653, SEN S/N: 11009653, LBL: DO)","Temp, °F (LGR S/N: 11009653, SEN S/N: 11009653, LBL: Temp)","Sensor Data Error (LGR S/N: 11009653)","Coupler Attached (LGR S/N: 11009653)","Host Connected (LGR S/N: 11009653)","Stopped (LGR S/N: 11009653)","End Of File (LGR S/N: 11009653)"
112,12/03/20 10:30:00 PM,12.43,38.16,,,,,
113,12/03/20 11:00:00 PM,13.10,38.16,,,,,
114,12/03/20 11:30:00 PM,13.25,38.16,,,,,
115,12/04/20 12:00:00 AM,12.59,38.16,,,,,
116,12/04/20 12:30:00 AM,13.00,38.19,,,,,
117,12/04/20 01:00:00 AM,12.78,38.19,,,,,
118,12/04/20 01:30:00 AM,12.59,38.19,,,,,
119,12/04/20 02:00:00 AM,15.56,38.19,,,,,
120,12/04/20 02:30:00 AM,12.35,38.19,,,,,
121,12/04/20 03:00:00 AM,12.88,38.23,,,,,
122,12/04/20 03:30:00 AM,11.98,38.23,,,,,
123,12/04/20 04:00:00 AM,11.82,38.26,,,,,
124,12/04/20 04:30:00 AM,11.64,38.23,,,,,
125,12/04/20 05:00:00 AM,12.37,38.26,,,,,
126,12/04/20 05:30:00 AM,12.35,38.23,,,,,
127,12/04/20 06:00:00 AM,11.32,38.26,,,,,
128,12/04/20 06:30:00 AM,11.30,38.26,,,,,
129,12/04/20 07:00:00 AM,11.17,38.26,,,,,
130,12/04/20 07:30:00 AM,10.87,38.30,,,,,
131,12/04/20 08:00:00 AM,11.36,38.34,,,,,
132,12/04/20 08:30:00 AM,10.95,38.34,,,,,
133,12/04/20 09:00:00 AM,10.35,38.37,,,,,
134,12/04/20 09:30:00 AM,13.57,38.37,,,,,
135,12/04/20 10:00:00 AM,11.03,38.37,,,,,
136,12/04/20 10:30:00 AM,11.38,38.44,,,,,
137,12/04/20 11:00:00 AM,11.34,38.48,,,,,
138,12/04/20 11:30:00 AM,11.83,38.52,,,,,
139,12/04/20 12:00:00 PM,11.94,38.55,,,,,
140,12/04/20 12:30:00 PM,12.17,38.55,,,,,
141,12/04/20 01:00:00 PM,13.17,38.62,,,,,
142,12/04/20 01:30:00 PM,12.47,38.62,,,,,
143,12/04/20 02:00:00 PM,14.60,38.66,,,,,
144,12/04/20 02:30:00 PM,14.18,38.70,,,,,
145,12/04/20 03:00:00 PM,13.10,38.70,,,,,
146,12/04/20 03:30:00 PM,12.26,38.73,,,,,
147,12/04/20 04:00:00 PM,11.49,38.73,,,,,
148,12/04/20 04:30:00 PM,12.46,38.73,,,,,
149,12/04/20 05:00:00 PM,14.51,38.73,,,,,
150,12/04/20 05:30:00 PM,11.49,38.77,,,,,
151,12/04/20 06:00:00 PM,12.52,38.77,,,,,
152,12/04/20 06:30:00 PM,12.32,38.77,,,,,
153,12/04/20 07:00:00 PM,12.32,38.77,,,,,
154,12/04/20 07:30:00 PM,11.52,38.77,,,,,
155,12/04/20 08:00:00 PM,12.64,38.80,,,,,
156,12/04/20 08:30:00 PM,12.93,38.80,,,,,
157,12/04/20 09:00:00 PM,12.12,38.80,,,,,
158,12/04/20 09:30:00 PM,11.61,38.84,,,,,
159,12/04/20 10:00:00 PM,12.05,38.84,,,,,
160,12/04/20 10:30:00 PM,12.81,38.84,,,,,
161,12/04/20 11:00:00 PM,16.25,38.84,,,,,
162,12/04/20 11:30:00 PM,13.15,38.84,,,,,
163,12/05/20 12:00:00 AM,13.20,38.84,,,,,
164,12/05/20 12:30:00 AM,12.08,38.84,,,,,
165,12/05/20 01:00:00 AM,13.34,38.84,,,,,
166,12/05/20 01:30:00 AM,13.27,38.88,,,,,
167,12/05/20 02:00:00 AM,12.83,38.88,,,,,
168,12/05/20 02:30:00 AM,11.86,38.88,,,,,
169,12/05/20 03:00:00 AM,12.09,38.88,,,,,
170,12/05/20 03:30:00 AM,12.16,38.88,,,,,
171,12/05/20 04:00:00 AM,13.19,38.88,,,,,
172,12/05/20 04:30:00 AM,12.15,38.84,,,,,
173,12/05/20 05:00:00 AM,12.20,38.91,,,,,
174,12/05/20 05:30:00 AM,11.94,38.84,,,,,
175,12/05/20 06:00:00 AM,12.25,38.88,,,,,
176,12/05/20 06:30:00 AM,11.83,38.91,,,,,
177,12/05/20 07:00:00 AM,11.70,38.95,,,,,
178,12/05/20 07:30:00 AM,12.05,38.95,,,,,
179,12/05/20 08:00:00 AM,12.93,38.95,,,,,
180,12/05/20 08:30:00 AM,11.73,38.98,,,,,
181,12/05/20 09:00:00 AM,11.49,38.98,,,,,
182,12/05/20 09:30:00 AM,11.48,38.95,,,,,
183,12/05/20 10:00:00 AM,11.85,39.02,,,,,
184,12/05/20 10:30:00 AM,11.15,39.06,,,,,
185,12/05/20 11:00:00 AM,12.67,39.06,,,,,
186,12/05/20 11:30:00 AM,11.55,39.09,,,,,
187,12/05/20 12:00:00 PM,11.95,39.09,,,,,
188,12/05/20 12:30:00 PM,12.05,39.13,,,,,
189,12/05/20 01:00:00 PM,12.11,39.13,,,,,
190,12/05/20 01:30:00 PM,11.81,39.20,,,,,
191,12/05/20 02:00:00 PM,11.87,39.20,,,,,
192,12/05/20 02:30:00 PM,11.39,39.16,,,,,
193,12/05/20 03:00:00 PM,12.29,39.20,,,,,
194,12/05/20 03:30:00 PM,11.89,39.16,,,,,
195,12/05/20 04:00:00 PM,11.81,39.24,,,,,
196,12/05/20 04:30:00 PM,12.49,39.20,,,,,
197,12/05/20 05:00:00 PM,12.43,39.20,,,,,
198,12/05/20 05:30:00 PM,12.65,39.24,,,,,
199,12/05/20 06:00:00 PM,12.90,39.24,,,,,
200,12/05/20 06:30:00 PM,12.60,39.24,,,,,
201,12/05/20 07:00:00 PM,12.16,39.20,,,,,
202,12/05/20 07:30:00 PM,12.16,39.24,,,,,
203,12/05/20 08:00:00 PM,12.45,39.24,,,,,
204,12/05/20 08:30:00 PM,12.20,39.24,,,,,
205,12/05/20 09:00:00 PM,11.75,39.27,,,,,
206,12/05/20 09:30:00 PM,11.62,39.27,,,,,
207,12/05/20 10:00:00 PM,12.55,39.16,,,,,
208,12/05/20 10:30:00 PM,13.69,39.16,,,,,
209,12/05/20 11:00:00 PM,12.86,39.27,,,,,
210,12/05/20 11:30:00 PM,13.86,39.34,,,,,
211,12/06/20 12:00:00 AM,13.68,39.31,,,,,
212,12/06/20 12:30:00 AM,13.78,39.31,,,,,
213,12/06/20 01:00:00 AM,13.62,39.34,,,,,
214,12/06/20 01:30:00 AM,13.41,39.31,,,,,
215,12/06/20 02:00:00 AM,12.74,39.34,,,,,
216,12/06/20 02:30:00 AM,13.07,39.31,,,,,
217,12/06/20 03:00:00 AM,12.54,39.34,,,,,
218,12/06/20 03:30:00 AM,12.45,39.27,,,,,
219,12/06/20 04:00:00 AM,12.94,39.38,,,,,
220,12/06/20 04:30:00 AM,12.32,39.38,,,,,
221,12/06/20 05:00:00 AM,13.07,39.34,,,,,
222,12/06/20 05:30:00 AM,13.00,39.34,,,,,
223,12/06/20 06:00:00 AM,12.48,39.27,,,,,
224,12/06/20 06:30:00 AM,12.93,39.31,,,,,
225,12/06/20 07:00:00 AM,13.48,39.38,,,,,
226,12/06/20 07:30:00 AM,13.43,39.34,,,,,
227,12/06/20 08:00:00 AM,13.25,39.31,,,,,
228,12/06/20 08:30:00 AM,12.69,39.34,,,,,
229,12/06/20 09:00:00 AM,12.76,39.34,,,,,
230,12/06/20 09:30:00 AM,12.21,39.34,,,,,
231,12/06/20 10:00:00 AM,12.26,39.34,,,,,
232,12/06/20 10:30:00 AM,13.50,39.38,,,,,
233,12/06/20 11:00:00 AM,13.07,39.34,,,,,
234,12/06/20 11:30:00 AM,13.33,39.38,,,,,
235,12/06/20 12:00:00 PM,13.14,39.45,,,,,
236,12/06/20 12:30:00 PM,12.85,39.42,,,,,
237,12/06/20 01:00:00 PM,14.52,39.49,,,,,
238,12/06/20 01:30:00 PM,13.79,39.45,,,,,
239,12/06/20 02:00:00 PM,14.15,39.49,,,,,
240,12/06/20 02:30:00 PM,13.67,39.49,,,,,
241,12/06/20 03:00:00 PM,14.34,39.49,,,,,
242,12/06/20 03:30:00 PM,14.75,39.45,,,,,
243,12/06/20 04:00:00 PM,14.91,39.45,,,,,
244,12/06/20 04:30:00 PM,14.29,39.52,,,,,
245,12/06/20 05:00:00 PM,14.82,39.52,,,,,
246,12/06/20 05:30:00 PM,15.01,39.52,,,,,
247,12/06/20 06:00:00 PM,15.07,39.52,,,,,
248,12/06/20 06:30:00 PM,15.07,39.49,,,,,
249,12/06/20 07:00:00 PM,14.82,39.49,,,,,
250,12/06/20 07:30:00 PM,14.67,39.49,,,,,
251,12/06/20 08:00:00 PM,14.65,39.49,,,,,
252,12/06/20 08:30:00 PM,14.77,39.52,,,,,
253,12/06/20 09:00:00 PM,14.52,39.49,,,,,
254,12/06/20 09:30:00 PM,14.66,39.52,,,,,
255,12/06/20 10:00:00 PM,14.89,39.52,,,,,
256,12/06/20 10:30:00 PM,14.64,39.49,,,,,
257,12/06/20 11:00:00 PM,14.63,39.52,,,,,
258,12/06/20 11:30:00 PM,14.65,39.52,,,,,
259,12/07/20 12:00:00 AM,14.74,39.52,,,,,
260,12/07/20 12:30:00 AM,14.83,39.49,,,,,
261,12/07/20 01:00:00 AM,14.81,39.52,,,,,
262,12/07/20 01:30:00 AM,14.54,39.52,,,,,
263,12/07/20 02:00:00 AM,14.90,39.56,,,,,
264,12/07/20 02:30:00 AM,14.81,39.56,,,,,
265,12/07/20 03:00:00 AM,14.58,39.52,,,,,
266,12/07/20 03:30:00 AM,14.80,39.52,,,,,
267,12/07/20 04:00:00 AM,14.83,39.52,,,,,
268,12/07/20 04:30:00 AM,14.62,39.52,,,,,
269,12/07/20 05:00:00 AM,14.73,39.52,,,,,
270,12/07/20 05:30:00 AM,15.23,39.56,,,,,
271,12/07/20 06:00:00 AM,15.17,39.56,,,,,
272,12/07/20 06:30:00 AM,14.20,39.52,,,,,
273,12/07/20 07:00:00 AM,14.88,39.52,,,,,
274,12/07/20 07:30:00 AM,15.07,39.67,,,,,
275,12/07/20 08:00:00 AM,13.95,39.63,,,,,
276,12/07/20 08:30:00 AM,14.69,39.60,,,,,
277,12/07/20 09:00:00 AM,14.29,39.60,,,,,
278,12/07/20 09:30:00 AM,13.27,39.56,,,,,
279,12/07/20 10:00:00 AM,13.92,39.60,,,,,
280,12/07/20 10:30:00 AM,13.93,39.56,,,,,
281,12/07/20 11:00:00 AM,13.83,39.63,,,,,
282,12/07/20 11:30:00 AM,14.10,39.60,,,,,
283,12/07/20 12:00:00 PM,16.89,39.60,,,,,
284,12/07/20 12:30:00 PM,15.60,39.52,,,,,
285,12/07/20 01:00:00 PM,15.39,39.52,,,,,
286,12/07/20 01:30:00 PM,16.47,39.52,,,,,
287,12/07/20 02:00:00 PM,14.79,39.56,,,,,
288,12/07/20 02:30:00 PM,17.73,39.52,,,,,
289,12/07/20 03:00:00 PM,16.97,39.49,,,,,
290,12/07/20 03:30:00 PM,16.98,39.45,,,,,
291,12/07/20 04:00:00 PM,15.07,39.45,,,,,
292,12/07/20 04:30:00 PM,13.45,39.49,,,,,
293,12/07/20 05:00:00 PM,12.67,39.49,,,,,
294,12/07/20 05:30:00 PM,13.40,39.52,,,,,
295,12/07/20 06:00:00 PM,13.81,39.52,,,,,
296,12/07/20 06:30:00 PM,13.97,39.52,,,,,
297,12/07/20 07:00:00 PM,12.48,39.49,,,,,
298,12/07/20 07:30:00 PM,12.52,39.52,,,,,
299,12/07/20 08:00:00 PM,12.20,39.56,,,,,
300,12/07/20 08:30:00 PM,13.03,39.52,,,,,
301,12/07/20 09:00:00 PM,13.89,39.56,,,,,
302,12/07/20 09:30:00 PM,13.04,39.60,,,,,
303,12/07/20 10:00:00 PM,12.99,39.49,,,,,
304,12/07/20 10:30:00 PM,13.74,39.49,,,,,
305,12/07/20 11:00:00 PM,13.61,39.49,,,,,
306,12/07/20 11:30:00 PM,12.69,39.52,,,,,
307,12/08/20 12:00:00 AM,14.45,39.52,,,,,
308,12/08/20 12:30:00 AM,13.18,39.52,,,,,
309,12/08/20 01:00:00 AM,13.32,39.52,,,,,
310,12/08/20 01:30:00 AM,14.48,39.49,,,,,
311,12/08/20 02:00:00 AM,14.64,39.49,,,,,
312,12/08/20 02:30:00 AM,14.91,39.52,,,,,
313,12/08/20 03:00:00 AM,15.68,39.52,,,,,
314,12/08/20 03:30:00 AM,14.36,39.52,,,,,
315,12/08/20 04:00:00 AM,14.37,39.45,,,,,
316,12/08/20 04:30:00 AM,16.17,39.49,,,,,
317,12/08/20 05:00:00 AM,16.58,39.52,,,,,
318,12/08/20 05:30:00 AM,18.89,39.45,,,,,
319,12/08/20 06:00:00 AM,16.51,39.49,,,,,
320,12/08/20 06:30:00 AM,15.67,39.52,,,,,
321,12/08/20 07:00:00 AM,16.45,39.52,,,,,
322,12/08/20 07:30:00 AM,17.06,39.49,,,,,
323,12/08/20 08:00:00 AM,20.19,39.34,,,,,
324,12/08/20 08:30:00 AM,16.81,39.34,,,,,
325,12/08/20 09:00:00 AM,17.82,39.34,,,,,
326,12/08/20 09:30:00 AM,16.62,39.34,,,,,
327,12/08/20 10:00:00 AM,17.07,39.38,,,,,
328,12/08/20 10:30:00 AM,16.96,39.38,,,,,
329,12/08/20 11:00:00 AM,17.43,39.42,,,,,
330,12/08/20 11:30:00 AM,18.09,39.42,,,,,
331,12/08/20 12:00:00 PM,17.11,39.42,,,,,
332,12/08/20 12:30:00 PM,17.48,39.42,,,,,
333,12/08/20 01:00:00 PM,16.14,39.42,,,,,
334,12/08/20 01:30:00 PM,15.97,39.42,,,,,
335,12/08/20 02:00:00 PM,18.52,39.45,,,,,
336,12/08/20 02:30:00 PM,21.01,39.34,,,,,
337,12/08/20 03:00:00 PM,18.08,39.34,,,,,
338,12/08/20 03:30:00 PM,18.89,39.34,,,,,
339,12/08/20 04:00:00 PM,18.15,39.34,,,,,
340,12/08/20 04:30:00 PM,18.18,39.34,,,,,
341,12/08/20 05:00:00 PM,17.37,39.31,,,,,
342,12/08/20 05:30:00 PM,16.62,39.34,,,,,
343,12/08/20 06:00:00 PM,17.47,39.34,,,,,
344,12/08/20 06:30:00 PM,17.61,39.31,,,,,
345,12/08/20 07:00:00 PM,18.26,39.31,,,,,
346,12/08/20 07:30:00 PM,17.55,39.31,,,,,
347,12/08/20 08:00:00 PM,17.82,39.31,,,,,
348,12/08/20 08:30:00 PM,18.12,39.31,,,,,
349,12/08/20 09:00:00 PM,17.87,39.34,,,,,
350,12/08/20 09:30:00 PM,17.60,39.34,,,,,
351,12/08/20 10:00:00 PM,16.81,39.34,,,,,
352,12/08/20 10:30:00 PM,16.97,39.38,,,,,
353,12/08/20 11:00:00 PM,17.70,39.34,,,,,
354,12/08/20 11:30:00 PM,17.71,39.34,,,,,
355,12/09/20 12:00:00 AM,17.36,39.38,,,,,
356,12/09/20 12:30:00 AM,17.06,39.34,,,,,
357,12/09/20 01:00:00 AM,16.84,39.38,,,,,
358,12/09/20 01:30:00 AM,16.86,39.34,,,,,
359,12/09/20 02:00:00 AM,17.21,39.31,,,,,
360,12/09/20 02:30:00 AM,16.74,39.38,,,,,
361,12/09/20 03:00:00 AM,18.39,39.31,,,,,
362,12/09/20 03:30:00 AM,17.21,39.34,,,,,
363,12/09/20 04:00:00 AM,15.64,39.38,,,,,
364,12/09/20 04:30:00 AM,17.57,39.34,,,,,
365,12/09/20 05:00:00 AM,17.52,39.34,,,,,
366,12/09/20 05:30:00 AM,17.19,39.34,,,,,
367,12/09/20 06:00:00 AM,16.89,39.31,,,,,
368,12/09/20 06:30:00 AM,17.18,39.38,,,,,
369,12/09/20 07:00:00 AM,17.83,39.31,,,,,
370,12/09/20 07:30:00 AM,18.15,39.31,,,,,
371,12/09/20 08:00:00 AM,17.50,39.38,,,,,
372,12/09/20 08:30:00 AM,18.13,39.42,,,,,
373,12/09/20 09:00:00 AM,17.06,39.42,,,,,
374,12/09/20 09:30:00 AM,17.87,39.38,,,,,
375,12/09/20 10:00:00 AM,16.67,39.42,,,,,
376,12/09/20 10:30:00 AM,17.10,39.42,,,,,
377,12/09/20 11:00:00 AM,16.44,39.45,,,,,
378,12/09/20 11:30:00 AM,17.24,39.42,,,,,
379,12/09/20 12:00:00 PM,17.78,39.45,,,,,
380,12/09/20 12:30:00 PM,17.18,39.45,,,,,
381,12/09/20 01:00:00 PM,17.46,39.42,,,,,
382,12/09/20 01:30:00 PM,17.84,39.45,,,,,
383,12/09/20 02:00:00 PM,17.56,39.45,,,,,
384,12/09/20 02:30:00 PM,19.70,39.45,,,,,
385,12/09/20 03:00:00 PM,20.02,39.20,,,,,
386,12/09/20 03:30:00 PM,17.88,39.27,,,,,
387,12/09/20 04:00:00 PM,17.52,39.24,,,,,
388,12/09/20 04:30:00 PM,17.47,39.16,,,,,
389,12/09/20 05:00:00 PM,16.35,39.24,,,,,
390,12/09/20 05:30:00 PM,16.45,39.20,,,,,
391,12/09/20 06:00:00 PM,16.35,39.16,,,,,
392,12/09/20 06:30:00 PM,16.04,39.20,,,,,
393,12/09/20 07:00:00 PM,16.46,39.20,,,,,
394,12/09/20 07:30:00 PM,16.78,39.27,,,,,
395,12/09/20 08:00:00 PM,16.25,39.24,,,,,
396,12/09/20 08:30:00 PM,16.84,39.27,,,,,
397,12/09/20 09:00:00 PM,17.14,39.31,,,,,
398,12/09/20 09:30:00 PM,16.51,39.31,,,,,
399,12/09/20 10:00:00 PM,17.09,39.27,,,,,
400,12/09/20 10:30:00 PM,16.98,39.27,,,,,
401,12/09/20 11:00:00 PM,16.98,39.27,,,,,
402,12/09/20 11:30:00 PM,16.55,39.20,,,,,
403,12/10/20 12:00:00 AM,16.87,39.27,,,,,
404,12/10/20 12:30:00 AM,17.06,39.27,,,,,
405,12/10/20 01:00:00 AM,16.34,39.27,,,,,
406,12/10/20 01:30:00 AM,16.17,39.27,,,,,
407,12/10/20 02:00:00 AM,16.25,39.31,,,,,
408,12/10/20 02:30:00 AM,16.27,39.02,,,,,
409,12/10/20 03:00:00 AM,17.02,39.20,,,,,
410,12/10/20 03:30:00 AM,16.92,39.24,,,,,
411,12/10/20 04:00:00 AM,16.43,39.20,,,,,
412,12/10/20 04:30:00 AM,16.34,39.31,,,,,
413,12/10/20 05:00:00 AM,16.47,39.31,,,,,
414,12/10/20 05:30:00 AM,16.49,39.34,,,,,
415,12/10/20 06:00:00 AM,17.44,39.24,,,,,
416,12/10/20 06:30:00 AM,16.28,39.34,,,,,
417,12/10/20 07:00:00 AM,16.04,39.24,,,,,
418,12/10/20 07:30:00 AM,16.23,39.34,,,,,
419,12/10/20 08:00:00 AM,16.46,39.20,,,,,
420,12/10/20 08:30:00 AM,16.20,39.24,,,,,
421,12/10/20 09:00:00 AM,14.54,39.31,,,,,
422,12/10/20 09:30:00 AM,17.50,39.16,,,,,
423,12/10/20 10:00:00 AM,15.75,39.24,,,,,
424,12/10/20 10:30:00 AM,15.50,39.31,,,,,
425,12/10/20 11:00:00 AM,18.34,39.20,,,,,
426,12/10/20 11:30:00 AM,17.24,39.13,,,,,
427,12/10/20 12:00:00 PM,18.08,39.06,,,,,
428,12/10/20 12:30:00 PM,15.74,39.13,,,,,
429,12/10/20 01:00:00 PM,16.07,39.13,,,,,
430,12/10/20 01:30:00 PM,15.81,39.20,,,,,
431,12/10/20 02:00:00 PM,14.48,39.16,,,,,
432,12/10/20 02:30:00 PM,15.35,39.13,,,,,
433,12/10/20 03:00:00 PM,15.16,39.09,,,,,
434,12/10/20 03:30:00 PM,18.32,39.06,,,,,
435,12/10/20 04:00:00 PM,17.13,39.13,,,,,
436,12/10/20 04:30:00 PM,15.11,39.09,,,,,
437,12/10/20 05:00:00 PM,14.46,39.13,,,,,
438,12/10/20 05:30:00 PM,15.55,39.13,,,,,
439,12/10/20 06:00:00 PM,15.72,39.02,,,,,
440,12/10/20 06:30:00 PM,16.40,39.02,,,,,
441,12/10/20 07:00:00 PM,15.46,39.06,,,,,
442,12/10/20 07:30:00 PM,15.83,39.09,,,,,
443,12/10/20 08:00:00 PM,15.23,39.13,,,,,
444,12/10/20 08:30:00 PM,15.48,39.06,,,,,
445,12/10/20 09:00:00 PM,15.25,39.13,,,,,
446,12/10/20 09:30:00 PM,15.38,39.09,,,,,
447,12/10/20 10:00:00 PM,15.46,39.13,,,,,
448,12/10/20 10:30:00 PM,14.87,39.13,,,,,
449,12/10/20 11:00:00 PM,15.97,39.13,,,,,
450,12/10/20 11:30:00 PM,15.61,39.09,,,,,
451,12/11/20 12:00:00 AM,15.58,39.13,,,,,
452,12/11/20 12:30:00 AM,15.60,39.13,,,,,
