"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Coupler Detached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
77,11/21/21 02:00:00 AM,12.48,38.66,,,,,
78,11/21/21 02:30:00 AM,12.43,38.70,,,,,
79,11/21/21 03:00:00 AM,12.15,38.73,,,,,
80,11/21/21 03:30:00 AM,12.25,38.77,,,,,
81,11/21/21 04:00:00 AM,12.24,38.88,,,,,
82,11/21/21 04:30:00 AM,12.39,38.88,,,,,
83,11/21/21 05:00:00 AM,12.32,38.88,,,,,
84,11/21/21 05:30:00 AM,12.26,38.91,,,,,
85,11/21/21 06:00:00 AM,12.38,38.91,,,,,
86,11/21/21 06:30:00 AM,12.36,38.91,,,,,
87,11/21/21 07:00:00 AM,12.41,38.91,,,,,
88,11/21/21 07:30:00 AM,12.45,38.88,,,,,
89,11/21/21 08:00:00 AM,12.52,38.88,,,,,
90,11/21/21 08:30:00 AM,12.52,38.84,,,,,
91,11/21/21 09:00:00 AM,12.68,38.84,,,,,
92,11/21/21 09:30:00 AM,12.52,38.95,,,,,
93,11/21/21 10:00:00 AM,12.65,38.91,,,,,
94,11/21/21 10:30:00 AM,12.87,38.80,,,,,
95,11/21/21 11:00:00 AM,12.80,38.84,,,,,
96,11/21/21 11:30:00 AM,13.05,38.66,,,,,
97,11/21/21 12:00:00 PM,13.02,38.70,,,,,
98,11/21/21 12:30:00 PM,12.89,38.70,,,,,
99,11/21/21 01:00:00 PM,13.43,38.37,,,,,
100,11/21/21 01:30:00 PM,14.13,37.80,,,,,
101,11/21/21 02:00:00 PM,14.35,37.80,,,,,
102,11/21/21 02:30:00 PM,14.31,37.80,,,,,
103,11/21/21 03:00:00 PM,14.55,37.90,,,,,
104,11/21/21 03:30:00 PM,14.46,37.80,,,,,
105,11/21/21 04:00:00 PM,14.57,37.80,,,,,
106,11/21/21 04:30:00 PM,14.57,37.69,,,,,
107,11/21/21 05:00:00 PM,14.64,37.62,,,,,
108,11/21/21 05:30:00 PM,14.63,37.62,,,,,
109,11/21/21 06:00:00 PM,14.62,37.87,,,,,
110,11/21/21 06:30:00 PM,14.68,37.90,,,,,
111,11/21/21 07:00:00 PM,14.61,37.90,,,,,
112,11/21/21 07:30:00 PM,14.64,37.87,,,,,
113,11/21/21 08:00:00 PM,14.64,37.87,,,,,
114,11/21/21 08:30:00 PM,14.71,37.72,,,,,
115,11/21/21 09:00:00 PM,14.69,37.65,,,,,
116,11/21/21 09:30:00 PM,14.63,37.58,,,,,
117,11/21/21 10:00:00 PM,14.59,37.58,,,,,
118,11/21/21 10:30:00 PM,14.59,37.51,,,,,
119,11/21/21 11:00:00 PM,14.61,37.29,,,,,
120,11/21/21 11:30:00 PM,14.55,37.15,,,,,
121,11/22/21 12:00:00 AM,14.46,36.82,,,,,
122,11/22/21 12:30:00 AM,14.44,36.79,,,,,
123,11/22/21 01:00:00 AM,14.40,36.68,,,,,
124,11/22/21 01:30:00 AM,14.31,36.46,,,,,
125,11/22/21 02:00:00 AM,14.27,36.21,,,,,
126,11/22/21 02:30:00 AM,14.14,36.18,,,,,
127,11/22/21 03:00:00 AM,14.00,36.18,,,,,
128,11/22/21 03:30:00 AM,13.95,36.14,,,,,
129,11/22/21 04:00:00 AM,13.83,36.46,,,,,
130,11/22/21 04:30:00 AM,13.94,36.61,,,,,
131,11/22/21 05:00:00 AM,13.94,36.90,,,,,
132,11/22/21 05:30:00 AM,13.94,37.04,,,,,
133,11/22/21 06:00:00 AM,13.86,37.04,,,,,
134,11/22/21 06:30:00 AM,13.89,37.00,,,,,
135,11/22/21 07:00:00 AM,14.01,37.11,,,,,
136,11/22/21 07:30:00 AM,14.03,37.15,,,,,
137,11/22/21 08:00:00 AM,14.06,37.15,,,,,
138,11/22/21 08:30:00 AM,14.04,37.33,,,,,
139,11/22/21 09:00:00 AM,14.01,37.33,,,,,
140,11/22/21 09:30:00 AM,13.87,37.51,,,,,
141,11/22/21 10:00:00 AM,13.65,37.65,,,,,
142,11/22/21 10:30:00 AM,13.55,37.62,,,,,
143,11/22/21 11:00:00 AM,13.52,37.69,,,,,
144,11/22/21 11:30:00 AM,13.45,37.94,,,,,
145,11/22/21 12:00:00 PM,13.42,37.98,,,,,
146,11/22/21 12:30:00 PM,13.49,38.01,,,,,
147,11/22/21 01:00:00 PM,13.50,37.94,,,,,
148,11/22/21 01:30:00 PM,13.50,37.87,,,,,
149,11/22/21 02:00:00 PM,13.50,38.12,,,,,
150,11/22/21 02:30:00 PM,13.50,38.26,,,,,
151,11/22/21 03:00:00 PM,13.49,38.12,,,,,
152,11/22/21 03:30:00 PM,13.52,37.94,,,,,
153,11/22/21 04:00:00 PM,13.56,37.83,,,,,
154,11/22/21 04:30:00 PM,13.54,37.94,,,,,
155,11/22/21 05:00:00 PM,13.74,37.83,,,,,
156,11/22/21 05:30:00 PM,13.88,38.01,,,,,
157,11/22/21 06:00:00 PM,13.86,37.62,,,,,
158,11/22/21 06:30:00 PM,13.80,37.65,,,,,
159,11/22/21 07:00:00 PM,13.73,37.80,,,,,
160,11/22/21 07:30:00 PM,13.82,37.76,,,,,
161,11/22/21 08:00:00 PM,14.19,37.51,,,,,
162,11/22/21 08:30:00 PM,14.27,37.44,,,,,
163,11/22/21 09:00:00 PM,14.35,37.18,,,,,
164,11/22/21 09:30:00 PM,14.31,37.40,,,,,
165,11/22/21 10:00:00 PM,13.98,37.36,,,,,
166,11/22/21 10:30:00 PM,13.87,37.15,,,,,
167,11/22/21 11:00:00 PM,13.96,37.26,,,,,
168,11/22/21 11:30:00 PM,13.58,37.08,,,,,
169,11/23/21 12:00:00 AM,13.43,37.29,,,,,
170,11/23/21 12:30:00 AM,13.35,37.18,,,,,
171,11/23/21 01:00:00 AM,13.24,37.18,,,,,
172,11/23/21 01:30:00 AM,13.04,37.15,,,,,
173,11/23/21 02:00:00 AM,12.77,37.33,,,,,
174,11/23/21 02:30:00 AM,12.72,37.08,,,,,
175,11/23/21 03:00:00 AM,12.69,37.08,,,,,
176,11/23/21 03:30:00 AM,12.68,37.22,,,,,
177,11/23/21 04:00:00 AM,12.62,37.18,,,,,
178,11/23/21 04:30:00 AM,12.55,37.26,,,,,
179,11/23/21 05:00:00 AM,12.48,37.22,,,,,
180,11/23/21 05:30:00 AM,12.43,37.11,,,,,
181,11/23/21 06:00:00 AM,12.38,37.15,,,,,
182,11/23/21 06:30:00 AM,12.23,37.15,,,,,
183,11/23/21 07:00:00 AM,12.12,37.22,,,,,
184,11/23/21 07:30:00 AM,12.07,37.33,,,,,
185,11/23/21 08:00:00 AM,12.01,37.40,,,,,
186,11/23/21 08:30:00 AM,11.43,37.51,,,,,
187,11/23/21 09:00:00 AM,11.78,37.40,,,,,
188,11/23/21 09:30:00 AM,11.71,37.18,,,,,
189,11/23/21 10:00:00 AM,11.69,37.47,,,,,
190,11/23/21 10:30:00 AM,11.71,37.62,,,,,
191,11/23/21 11:00:00 AM,11.89,37.62,,,,,
192,11/23/21 11:30:00 AM,12.14,37.58,,,,,
193,11/23/21 12:00:00 PM,12.71,37.36,,,,,
194,11/23/21 12:30:00 PM,12.81,37.54,,,,,
195,11/23/21 01:00:00 PM,12.82,37.65,,,,,
196,11/23/21 01:30:00 PM,12.77,37.54,,,,,
197,11/23/21 02:00:00 PM,12.70,37.54,,,,,
198,11/23/21 02:30:00 PM,12.71,37.62,,,,,
199,11/23/21 03:00:00 PM,12.73,37.72,,,,,
200,11/23/21 03:30:00 PM,12.78,37.69,,,,,
201,11/23/21 04:00:00 PM,13.04,37.65,,,,,
202,11/23/21 04:30:00 PM,13.52,37.62,,,,,
203,11/23/21 05:00:00 PM,13.86,37.76,,,,,
204,11/23/21 05:30:00 PM,14.82,37.94,,,,,
205,11/23/21 06:00:00 PM,16.90,37.87,,,,,
206,11/23/21 06:30:00 PM,16.19,37.83,,,,,
207,11/23/21 07:00:00 PM,15.96,37.69,,,,,
208,11/23/21 07:30:00 PM,15.76,37.58,,,,,
209,11/23/21 08:00:00 PM,14.85,37.47,,,,,
210,11/23/21 08:30:00 PM,14.62,37.51,,,,,
211,11/23/21 09:00:00 PM,16.62,37.15,,,,,
212,11/23/21 09:30:00 PM,15.41,37.33,,,,,
213,11/23/21 10:00:00 PM,15.13,37.47,,,,,
214,11/23/21 10:30:00 PM,14.96,37.58,,,,,
215,11/23/21 11:00:00 PM,15.27,37.47,,,,,
216,11/23/21 11:30:00 PM,15.42,37.44,,,,,
217,11/24/21 12:00:00 AM,15.50,37.11,,,,,
218,11/24/21 12:30:00 AM,15.41,37.04,,,,,
219,11/24/21 01:00:00 AM,15.60,37.04,,,,,
220,11/24/21 01:30:00 AM,15.62,37.00,,,,,
221,11/24/21 02:00:00 AM,15.56,36.93,,,,,
222,11/24/21 02:30:00 AM,15.63,36.90,,,,,
223,11/24/21 03:00:00 AM,15.71,36.86,,,,,
224,11/24/21 03:30:00 AM,15.90,36.79,,,,,
225,11/24/21 04:00:00 AM,15.68,36.79,,,,,
226,11/24/21 04:30:00 AM,15.68,36.72,,,,,
227,11/24/21 05:00:00 AM,15.47,36.75,,,,,
228,11/24/21 05:30:00 AM,15.45,36.72,,,,,
229,11/24/21 06:00:00 AM,15.39,36.64,,,,,
230,11/24/21 06:30:00 AM,15.26,36.61,,,,,
231,11/24/21 07:00:00 AM,15.11,36.57,,,,,
232,11/24/21 07:30:00 AM,14.98,36.57,,,,,
233,11/24/21 08:00:00 AM,14.91,36.54,,,,,
234,11/24/21 08:30:00 AM,14.91,36.64,,,,,
235,11/24/21 09:00:00 AM,14.97,36.75,,,,,
236,11/24/21 09:30:00 AM,14.84,36.86,,,,,
237,11/24/21 10:00:00 AM,14.85,36.90,,,,,
238,11/24/21 10:30:00 AM,14.94,36.97,,,,,
239,11/24/21 11:00:00 AM,14.78,37.08,,,,,
240,11/24/21 11:30:00 AM,14.97,37.26,,,,,
241,11/24/21 12:00:00 PM,14.91,37.40,,,,,
242,11/24/21 12:30:00 PM,14.72,37.62,,,,,
243,11/24/21 01:00:00 PM,14.72,37.83,,,,,
244,11/24/21 01:30:00 PM,14.78,38.01,,,,,
245,11/24/21 02:00:00 PM,14.79,38.12,,,,,
246,11/24/21 02:30:00 PM,14.72,38.16,,,,,
247,11/24/21 03:00:00 PM,14.94,38.26,,,,,
248,11/24/21 03:30:00 PM,14.90,38.26,,,,,
249,11/24/21 04:00:00 PM,14.97,38.44,,,,,
250,11/24/21 04:30:00 PM,15.06,38.52,,,,,
251,11/24/21 05:00:00 PM,15.29,38.55,,,,,
252,11/24/21 05:30:00 PM,15.49,38.55,,,,,
253,11/24/21 06:00:00 PM,15.52,38.59,,,,,
254,11/24/21 06:30:00 PM,15.50,38.59,,,,,
255,11/24/21 07:00:00 PM,15.35,38.55,,,,,
256,11/24/21 07:30:00 PM,15.44,38.52,,,,,
257,11/24/21 08:00:00 PM,15.16,38.44,,,,,
258,11/24/21 08:30:00 PM,15.22,38.44,,,,,
259,11/24/21 09:00:00 PM,15.09,38.52,,,,,
260,11/24/21 09:30:00 PM,15.00,38.48,,,,,
261,11/24/21 10:00:00 PM,14.96,38.44,,,,,
262,11/24/21 10:30:00 PM,15.00,38.37,,,,,
263,11/24/21 11:00:00 PM,14.95,38.34,,,,,
264,11/24/21 11:30:00 PM,14.94,38.30,,,,,
265,11/25/21 12:00:00 AM,14.89,38.26,,,,,
266,11/25/21 12:30:00 AM,14.81,38.23,,,,,
267,11/25/21 01:00:00 AM,14.78,38.16,,,,,
268,11/25/21 01:30:00 AM,14.69,38.12,,,,,
269,11/25/21 02:00:00 AM,14.63,38.08,,,,,
270,11/25/21 02:30:00 AM,14.54,38.05,,,,,
271,11/25/21 03:00:00 AM,14.37,37.98,,,,,
272,11/25/21 03:30:00 AM,14.27,37.90,,,,,
273,11/25/21 04:00:00 AM,14.09,37.83,,,,,
274,11/25/21 04:30:00 AM,14.06,37.80,,,,,
275,11/25/21 05:00:00 AM,14.00,37.76,,,,,
276,11/25/21 05:30:00 AM,13.92,37.69,,,,,
277,11/25/21 06:00:00 AM,13.81,37.58,,,,,
278,11/25/21 06:30:00 AM,13.80,37.36,,,,,
279,11/25/21 07:00:00 AM,13.67,37.33,,,,,
280,11/25/21 07:30:00 AM,13.64,37.22,,,,,
281,11/25/21 08:00:00 AM,13.53,37.22,,,,,
282,11/25/21 08:30:00 AM,13.43,37.15,,,,,
283,11/25/21 09:00:00 AM,13.35,37.11,,,,,
284,11/25/21 09:30:00 AM,13.50,36.79,,,,,
285,11/25/21 10:00:00 AM,13.40,36.82,,,,,
286,11/25/21 10:30:00 AM,13.63,36.68,,,,,
287,11/25/21 11:00:00 AM,13.74,36.64,,,,,
288,11/25/21 11:30:00 AM,13.97,36.57,,,,,
289,11/25/21 12:00:00 PM,14.04,36.64,,,,,
290,11/25/21 12:30:00 PM,14.23,36.61,,,,,
291,11/25/21 01:00:00 PM,14.18,36.72,,,,,
292,11/25/21 01:30:00 PM,14.40,36.75,,,,,
293,11/25/21 02:00:00 PM,14.44,36.82,,,,,
294,11/25/21 02:30:00 PM,14.27,36.93,,,,,
295,11/25/21 03:00:00 PM,14.27,36.93,,,,,
296,11/25/21 03:30:00 PM,14.42,36.90,,,,,
297,11/25/21 04:00:00 PM,14.23,36.90,,,,,
298,11/25/21 04:30:00 PM,14.27,36.93,,,,,
299,11/25/21 05:00:00 PM,14.19,37.00,,,,,
300,11/25/21 05:30:00 PM,14.10,37.04,,,,,
301,11/25/21 06:00:00 PM,14.09,37.18,,,,,
302,11/25/21 06:30:00 PM,14.14,37.29,,,,,
303,11/25/21 07:00:00 PM,14.31,37.47,,,,,
304,11/25/21 07:30:00 PM,14.63,37.47,,,,,
305,11/25/21 08:00:00 PM,14.69,37.47,,,,,
306,11/25/21 08:30:00 PM,14.69,37.18,,,,,
307,11/25/21 09:00:00 PM,14.66,37.18,,,,,
308,11/25/21 09:30:00 PM,14.68,37.04,,,,,
309,11/25/21 10:00:00 PM,14.63,37.26,,,,,
310,11/25/21 10:30:00 PM,14.50,37.33,,,,,
311,11/25/21 11:00:00 PM,14.25,37.22,,,,,
312,11/25/21 11:30:00 PM,14.21,37.22,,,,,
313,11/26/21 12:00:00 AM,14.18,37.22,,,,,
314,11/26/21 12:30:00 AM,14.16,37.15,,,,,
315,11/26/21 01:00:00 AM,14.13,37.15,,,,,
316,11/26/21 01:30:00 AM,14.13,37.15,,,,,
317,11/26/21 02:00:00 AM,14.10,37.15,,,,,
318,11/26/21 02:30:00 AM,14.10,37.08,,,,,
319,11/26/21 03:00:00 AM,14.06,37.00,,,,,
320,11/26/21 03:30:00 AM,14.01,36.97,,,,,
321,11/26/21 04:00:00 AM,13.97,37.04,,,,,
322,11/26/21 04:30:00 AM,13.92,37.04,,,,,
323,11/26/21 05:00:00 AM,13.91,37.11,,,,,
324,11/26/21 05:30:00 AM,13.89,37.00,,,,,
325,11/26/21 06:00:00 AM,13.87,37.11,,,,,
326,11/26/21 06:30:00 AM,13.85,37.18,,,,,
327,11/26/21 07:00:00 AM,13.82,37.18,,,,,
328,11/26/21 07:30:00 AM,13.77,37.15,,,,,
329,11/26/21 08:00:00 AM,13.77,37.26,,,,,
330,11/26/21 08:30:00 AM,13.70,37.40,,,,,
331,11/26/21 09:00:00 AM,13.07,37.69,,,,,
332,11/26/21 09:30:00 AM,12.87,37.76,,,,,
333,11/26/21 10:00:00 AM,12.77,37.54,,,,,
334,11/26/21 10:30:00 AM,12.72,37.58,,,,,
335,11/26/21 11:00:00 AM,12.64,37.76,,,,,
336,11/26/21 11:30:00 AM,12.61,37.87,,,,,
337,11/26/21 12:00:00 PM,12.60,37.87,,,,,
338,11/26/21 12:30:00 PM,12.63,37.83,,,,,
339,11/26/21 01:00:00 PM,12.69,37.90,,,,,
340,11/26/21 01:30:00 PM,12.75,37.94,,,,,
341,11/26/21 02:00:00 PM,12.78,37.98,,,,,
342,11/26/21 02:30:00 PM,12.84,37.76,,,,,
343,11/26/21 03:00:00 PM,12.97,37.72,,,,,
344,11/26/21 03:30:00 PM,13.10,37.76,,,,,
345,11/26/21 04:00:00 PM,13.15,37.80,,,,,
346,11/26/21 04:30:00 PM,13.47,37.80,,,,,
347,11/26/21 05:00:00 PM,13.51,37.80,,,,,
348,11/26/21 05:30:00 PM,13.45,37.80,,,,,
349,11/26/21 06:00:00 PM,13.42,37.80,,,,,
350,11/26/21 06:30:00 PM,13.40,37.80,,,,,
351,11/26/21 07:00:00 PM,13.34,37.87,,,,,
352,11/26/21 07:30:00 PM,13.28,37.87,,,,,
353,11/26/21 08:00:00 PM,13.23,37.90,,,,,
354,11/26/21 08:30:00 PM,13.15,37.98,,,,,
355,11/26/21 09:00:00 PM,13.13,37.94,,,,,
356,11/26/21 09:30:00 PM,12.98,37.94,,,,,
357,11/26/21 10:00:00 PM,13.05,37.98,,,,,
358,11/26/21 10:30:00 PM,13.06,37.98,,,,,
359,11/26/21 11:00:00 PM,13.05,37.98,,,,,
360,11/26/21 11:30:00 PM,12.93,38.01,,,,,
361,11/27/21 12:00:00 AM,12.84,38.05,,,,,
362,11/27/21 12:30:00 AM,12.70,38.05,,,,,
363,11/27/21 01:00:00 AM,12.79,37.98,,,,,
364,11/27/21 01:30:00 AM,12.84,38.08,,,,,
365,11/27/21 02:00:00 AM,12.75,38.05,,,,,
366,11/27/21 02:30:00 AM,12.68,38.12,,,,,
367,11/27/21 03:00:00 AM,12.55,38.16,,,,,
368,11/27/21 03:30:00 AM,12.56,38.16,,,,,
369,11/27/21 04:00:00 AM,12.54,38.16,,,,,
370,11/27/21 04:30:00 AM,12.52,38.16,,,,,
371,11/27/21 05:00:00 AM,12.51,38.12,,,,,
372,11/27/21 05:30:00 AM,12.48,38.16,,,,,
373,11/27/21 06:00:00 AM,12.48,38.16,,,,,
374,11/27/21 06:30:00 AM,12.44,38.19,,,,,
375,11/27/21 07:00:00 AM,12.43,38.16,,,,,
376,11/27/21 07:30:00 AM,12.46,38.12,,,,,
377,11/27/21 08:00:00 AM,12.53,38.08,,,,,
378,11/27/21 08:30:00 AM,12.63,38.08,,,,,
379,11/27/21 09:00:00 AM,12.71,38.01,,,,,
380,11/27/21 09:30:00 AM,12.89,38.05,,,,,
381,11/27/21 10:00:00 AM,12.95,38.08,,,,,
382,11/27/21 10:30:00 AM,12.98,38.05,,,,,
383,11/27/21 11:00:00 AM,12.99,38.05,,,,,
384,11/27/21 11:30:00 AM,13.02,38.08,,,,,
385,11/27/21 12:00:00 PM,13.15,38.12,,,,,
386,11/27/21 12:30:00 PM,13.22,38.16,,,,,
387,11/27/21 01:00:00 PM,13.27,38.16,,,,,
388,11/27/21 01:30:00 PM,13.28,38.19,,,,,
389,11/27/21 02:00:00 PM,13.68,38.05,,,,,
390,11/27/21 02:30:00 PM,13.79,38.08,,,,,
391,11/27/21 03:00:00 PM,14.00,38.05,,,,,
392,11/27/21 03:30:00 PM,14.09,38.08,,,,,
393,11/27/21 04:00:00 PM,14.23,38.16,,,,,
394,11/27/21 04:30:00 PM,14.35,38.01,,,,,
395,11/27/21 05:00:00 PM,14.34,38.01,,,,,
396,11/27/21 05:30:00 PM,14.28,38.05,,,,,
397,11/27/21 06:00:00 PM,14.21,38.05,,,,,
398,11/27/21 06:30:00 PM,14.15,38.08,,,,,
399,11/27/21 07:00:00 PM,14.14,38.08,,,,,
400,11/27/21 07:30:00 PM,14.12,38.08,,,,,
401,11/27/21 08:00:00 PM,14.05,38.12,,,,,
402,11/27/21 08:30:00 PM,14.01,38.12,,,,,
403,11/27/21 09:00:00 PM,14.01,38.16,,,,,
404,11/27/21 09:30:00 PM,13.98,38.16,,,,,
405,11/27/21 10:00:00 PM,13.96,38.19,,,,,
406,11/27/21 10:30:00 PM,13.96,38.19,,,,,
407,11/27/21 11:00:00 PM,13.92,38.19,,,,,
408,11/27/21 11:30:00 PM,13.86,38.16,,,,,
409,11/28/21 12:00:00 AM,13.86,38.19,,,,,
410,11/28/21 12:30:00 AM,13.88,38.23,,,,,
411,11/28/21 01:00:00 AM,13.86,38.23,,,,,
412,11/28/21 01:30:00 AM,13.83,38.26,,,,,
413,11/28/21 02:00:00 AM,13.80,38.30,,,,,
414,11/28/21 02:30:00 AM,13.76,38.30,,,,,
415,11/28/21 03:00:00 AM,13.67,38.30,,,,,
416,11/28/21 03:30:00 AM,13.70,38.30,,,,,
417,11/28/21 04:00:00 AM,13.71,38.30,,,,,
418,11/28/21 04:30:00 AM,13.80,38.30,,,,,
419,11/28/21 05:00:00 AM,13.81,38.26,,,,,
420,11/28/21 05:30:00 AM,13.77,38.34,,,,,
421,11/28/21 06:00:00 AM,13.74,38.30,,,,,
422,11/28/21 06:30:00 AM,13.78,38.30,,,,,
423,11/28/21 07:00:00 AM,13.80,38.30,,,,,
424,11/28/21 07:30:00 AM,13.90,38.16,,,,,
425,11/28/21 08:00:00 AM,14.28,38.05,,,,,
426,11/28/21 08:30:00 AM,14.63,38.08,,,,,
427,11/28/21 09:00:00 AM,14.68,38.12,,,,,
428,11/28/21 09:30:00 AM,14.70,38.05,,,,,
429,11/28/21 10:00:00 AM,14.72,38.08,,,,,
430,11/28/21 10:30:00 AM,14.95,38.16,,,,,
431,11/28/21 11:00:00 AM,15.00,38.16,,,,,
432,11/28/21 11:30:00 AM,15.13,38.12,,,,,
433,11/28/21 12:00:00 PM,15.34,38.08,,,,,
434,11/28/21 12:30:00 PM,15.41,38.16,,,,,
435,11/28/21 01:00:00 PM,15.42,38.19,,,,,
436,11/28/21 01:30:00 PM,15.57,38.30,,,,,
437,11/28/21 02:00:00 PM,15.86,38.08,,,,,
438,11/28/21 02:30:00 PM,15.86,38.12,,,,,
439,11/28/21 03:00:00 PM,15.88,38.16,,,,,
440,11/28/21 03:30:00 PM,15.97,38.08,,,,,
441,11/28/21 04:00:00 PM,16.16,38.05,,,,,
442,11/28/21 04:30:00 PM,16.04,38.01,,,,,
443,11/28/21 05:00:00 PM,16.01,38.05,,,,,
444,11/28/21 05:30:00 PM,15.88,38.08,,,,,
445,11/28/21 06:00:00 PM,15.85,38.08,,,,,
446,11/28/21 06:30:00 PM,15.78,38.08,,,,,
447,11/28/21 07:00:00 PM,15.76,38.08,,,,,
448,11/28/21 07:30:00 PM,15.76,38.12,,,,,
449,11/28/21 08:00:00 PM,15.79,38.12,,,,,
450,11/28/21 08:30:00 PM,15.83,38.08,,,,,
451,11/28/21 09:00:00 PM,15.85,38.08,,,,,
452,11/28/21 09:30:00 PM,15.84,38.12,,,,,
