"Plot Title: 11009653"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009653, SEN S/N: 11009653, LBL: DO)","Temp, °F (LGR S/N: 11009653, SEN S/N: 11009653, LBL: Temp)","Coupler Detached (LGR S/N: 11009653)","Coupler Attached (LGR S/N: 11009653)","Host Connected (LGR S/N: 11009653)","Stopped (LGR S/N: 11009653)","End Of File (LGR S/N: 11009653)"
66,11/20/21 08:30:00 PM,12.91,38.37,,,,,
67,11/20/21 09:00:00 PM,12.89,38.37,,,,,
68,11/20/21 09:30:00 PM,12.87,38.37,,,,,
69,11/20/21 10:00:00 PM,12.83,38.37,,,,,
70,11/20/21 10:30:00 PM,12.81,38.37,,,,,
71,11/20/21 11:00:00 PM,12.69,38.37,,,,,
72,11/20/21 11:30:00 PM,12.64,38.37,,,,,
73,11/21/21 12:00:00 AM,12.61,38.41,,,,,
74,11/21/21 12:30:00 AM,12.68,38.37,,,,,
75,11/21/21 01:00:00 AM,12.62,38.41,,,,,
76,11/21/21 01:30:00 AM,12.58,38.44,,,,,
77,11/21/21 02:00:00 AM,12.56,38.41,,,,,
78,11/21/21 02:30:00 AM,12.56,38.41,,,,,
79,11/21/21 03:00:00 AM,12.56,38.41,,,,,
80,11/21/21 03:30:00 AM,12.52,38.41,,,,,
81,11/21/21 04:00:00 AM,12.52,38.41,,,,,
82,11/21/21 04:30:00 AM,12.52,38.41,,,,,
83,11/21/21 05:00:00 AM,12.47,38.44,,,,,
84,11/21/21 05:30:00 AM,12.47,38.52,,,,,
85,11/21/21 06:00:00 AM,12.44,38.48,,,,,
86,11/21/21 06:30:00 AM,12.43,38.44,,,,,
87,11/21/21 07:00:00 AM,12.53,38.37,,,,,
88,11/21/21 07:30:00 AM,12.50,38.30,,,,,
89,11/21/21 08:00:00 AM,12.50,38.16,,,,,
90,11/21/21 08:30:00 AM,12.53,38.08,,,,,
91,11/21/21 09:00:00 AM,12.49,38.08,,,,,
92,11/21/21 09:30:00 AM,12.55,38.08,,,,,
93,11/21/21 10:00:00 AM,12.58,38.19,,,,,
94,11/21/21 10:30:00 AM,12.46,38.26,,,,,
95,11/21/21 11:00:00 AM,12.39,38.30,,,,,
96,11/21/21 11:30:00 AM,12.47,38.16,,,,,
97,11/21/21 12:00:00 PM,12.60,38.16,,,,,
98,11/21/21 12:30:00 PM,12.55,38.23,,,,,
99,11/21/21 01:00:00 PM,12.65,38.30,,,,,
100,11/21/21 01:30:00 PM,12.72,38.44,,,,,
101,11/21/21 02:00:00 PM,12.76,38.70,,,,,
102,11/21/21 02:30:00 PM,12.81,38.73,,,,,
103,11/21/21 03:00:00 PM,12.77,38.98,,,,,
104,11/21/21 03:30:00 PM,12.74,39.02,,,,,
105,11/21/21 04:00:00 PM,12.78,38.84,,,,,
106,11/21/21 04:30:00 PM,12.77,38.73,,,,,
107,11/21/21 05:00:00 PM,12.80,38.55,,,,,
108,11/21/21 05:30:00 PM,12.78,38.41,,,,,
109,11/21/21 06:00:00 PM,12.77,38.30,,,,,
110,11/21/21 06:30:00 PM,12.79,38.23,,,,,
111,11/21/21 07:00:00 PM,12.82,38.16,,,,,
112,11/21/21 07:30:00 PM,12.81,38.08,,,,,
113,11/21/21 08:00:00 PM,12.80,37.98,,,,,
114,11/21/21 08:30:00 PM,12.84,37.90,,,,,
115,11/21/21 09:00:00 PM,12.81,37.90,,,,,
116,11/21/21 09:30:00 PM,12.79,37.87,,,,,
117,11/21/21 10:00:00 PM,12.78,37.80,,,,,
118,11/21/21 10:30:00 PM,12.79,37.62,,,,,
119,11/21/21 11:00:00 PM,12.79,37.58,,,,,
120,11/21/21 11:30:00 PM,12.81,37.51,,,,,
121,11/22/21 12:00:00 AM,12.77,37.47,,,,,
122,11/22/21 12:30:00 AM,12.78,37.47,,,,,
123,11/22/21 01:00:00 AM,12.76,37.47,,,,,
124,11/22/21 01:30:00 AM,12.69,37.47,,,,,
125,11/22/21 02:00:00 AM,12.64,37.47,,,,,
126,11/22/21 02:30:00 AM,12.56,37.51,,,,,
127,11/22/21 03:00:00 AM,12.50,37.51,,,,,
128,11/22/21 03:30:00 AM,12.58,37.54,,,,,
129,11/22/21 04:00:00 AM,12.52,37.54,,,,,
130,11/22/21 04:30:00 AM,12.59,37.51,,,,,
131,11/22/21 05:00:00 AM,12.58,37.47,,,,,
132,11/22/21 05:30:00 AM,12.52,37.44,,,,,
133,11/22/21 06:00:00 AM,12.52,37.47,,,,,
134,11/22/21 06:30:00 AM,12.51,37.47,,,,,
135,11/22/21 07:00:00 AM,12.47,37.47,,,,,
136,11/22/21 07:30:00 AM,12.45,37.51,,,,,
137,11/22/21 08:00:00 AM,12.40,37.51,,,,,
138,11/22/21 08:30:00 AM,12.40,37.51,,,,,
139,11/22/21 09:00:00 AM,12.40,37.54,,,,,
140,11/22/21 09:30:00 AM,12.40,37.62,,,,,
141,11/22/21 10:00:00 AM,12.53,37.65,,,,,
142,11/22/21 10:30:00 AM,12.46,37.69,,,,,
143,11/22/21 11:00:00 AM,12.45,37.76,,,,,
144,11/22/21 11:30:00 AM,12.44,37.83,,,,,
145,11/22/21 12:00:00 PM,12.60,37.87,,,,,
146,11/22/21 12:30:00 PM,13.11,37.94,,,,,
147,11/22/21 01:00:00 PM,13.33,38.01,,,,,
148,11/22/21 01:30:00 PM,13.36,37.98,,,,,
149,11/22/21 02:00:00 PM,13.29,37.83,,,,,
150,11/22/21 02:30:00 PM,13.28,37.80,,,,,
151,11/22/21 03:00:00 PM,13.30,37.80,,,,,
152,11/22/21 03:30:00 PM,13.22,37.80,,,,,
153,11/22/21 04:00:00 PM,13.15,37.83,,,,,
154,11/22/21 04:30:00 PM,13.06,37.87,,,,,
155,11/22/21 05:00:00 PM,13.00,37.87,,,,,
156,11/22/21 05:30:00 PM,12.93,37.90,,,,,
157,11/22/21 06:00:00 PM,12.84,37.98,,,,,
158,11/22/21 06:30:00 PM,12.78,38.01,,,,,
159,11/22/21 07:00:00 PM,12.74,38.01,,,,,
160,11/22/21 07:30:00 PM,12.71,38.05,,,,,
161,11/22/21 08:00:00 PM,12.65,38.01,,,,,
162,11/22/21 08:30:00 PM,12.60,38.01,,,,,
163,11/22/21 09:00:00 PM,12.60,38.01,,,,,
164,11/22/21 09:30:00 PM,12.58,38.01,,,,,
165,11/22/21 10:00:00 PM,12.56,38.01,,,,,
166,11/22/21 10:30:00 PM,12.56,37.98,,,,,
167,11/22/21 11:00:00 PM,12.54,38.05,,,,,
168,11/22/21 11:30:00 PM,12.50,37.98,,,,,
169,11/23/21 12:00:00 AM,12.50,37.98,,,,,
170,11/23/21 12:30:00 AM,12.51,37.98,,,,,
171,11/23/21 01:00:00 AM,12.52,37.98,,,,,
172,11/23/21 01:30:00 AM,12.59,37.98,,,,,
173,11/23/21 02:00:00 AM,12.61,37.98,,,,,
174,11/23/21 02:30:00 AM,12.59,37.94,,,,,
175,11/23/21 03:00:00 AM,12.58,37.94,,,,,
176,11/23/21 03:30:00 AM,12.55,37.98,,,,,
177,11/23/21 04:00:00 AM,12.56,37.98,,,,,
178,11/23/21 04:30:00 AM,12.61,38.01,,,,,
179,11/23/21 05:00:00 AM,12.63,38.05,,,,,
180,11/23/21 05:30:00 AM,12.83,37.98,,,,,
181,11/23/21 06:00:00 AM,13.04,37.98,,,,,
182,11/23/21 06:30:00 AM,12.96,38.01,,,,,
183,11/23/21 07:00:00 AM,12.91,38.01,,,,,
184,11/23/21 07:30:00 AM,12.98,37.98,,,,,
185,11/23/21 08:00:00 AM,13.33,37.98,,,,,
186,11/23/21 08:30:00 AM,13.35,37.87,,,,,
187,11/23/21 09:00:00 AM,13.94,37.40,,,,,
188,11/23/21 09:30:00 AM,13.90,37.40,,,,,
189,11/23/21 10:00:00 AM,14.02,37.29,,,,,
190,11/23/21 10:30:00 AM,14.07,37.29,,,,,
191,11/23/21 11:00:00 AM,14.25,37.22,,,,,
192,11/23/21 11:30:00 AM,14.38,37.26,,,,,
193,11/23/21 12:00:00 PM,14.25,37.36,,,,,
194,11/23/21 12:30:00 PM,14.15,37.44,,,,,
195,11/23/21 01:00:00 PM,14.43,37.47,,,,,
196,11/23/21 01:30:00 PM,14.63,37.62,,,,,
197,11/23/21 02:00:00 PM,15.23,36.79,,,,,
198,11/23/21 02:30:00 PM,15.67,36.46,,,,,
199,11/23/21 03:00:00 PM,15.95,36.46,,,,,
200,11/23/21 03:30:00 PM,16.31,36.61,,,,,
201,11/23/21 04:00:00 PM,16.11,36.54,,,,,
202,11/23/21 04:30:00 PM,15.55,36.57,,,,,
203,11/23/21 05:00:00 PM,15.34,36.82,,,,,
204,11/23/21 05:30:00 PM,14.84,36.93,,,,,
205,11/23/21 06:00:00 PM,14.93,36.86,,,,,
206,11/23/21 06:30:00 PM,14.91,36.72,,,,,
207,11/23/21 07:00:00 PM,14.65,36.64,,,,,
208,11/23/21 07:30:00 PM,14.63,36.61,,,,,
209,11/23/21 08:00:00 PM,15.03,36.36,,,,,
210,11/23/21 08:30:00 PM,14.77,36.54,,,,,
211,11/23/21 09:00:00 PM,14.33,36.86,,,,,
212,11/23/21 09:30:00 PM,14.05,37.15,,,,,
213,11/23/21 10:00:00 PM,14.06,37.11,,,,,
214,11/23/21 10:30:00 PM,14.06,37.04,,,,,
215,11/23/21 11:00:00 PM,14.44,36.72,,,,,
216,11/23/21 11:30:00 PM,14.44,36.54,,,,,
217,11/24/21 12:00:00 AM,13.98,36.93,,,,,
218,11/24/21 12:30:00 AM,13.87,36.86,,,,,
219,11/24/21 01:00:00 AM,14.03,36.68,,,,,
220,11/24/21 01:30:00 AM,14.29,36.46,,,,,
221,11/24/21 02:00:00 AM,14.02,36.61,,,,,
222,11/24/21 02:30:00 AM,13.29,37.11,,,,,
223,11/24/21 03:00:00 AM,13.44,36.97,,,,,
224,11/24/21 03:30:00 AM,13.76,36.54,,,,,
225,11/24/21 04:00:00 AM,13.63,36.57,,,,,
226,11/24/21 04:30:00 AM,13.57,36.57,,,,,
227,11/24/21 05:00:00 AM,13.45,36.72,,,,,
228,11/24/21 05:30:00 AM,13.34,36.68,,,,,
229,11/24/21 06:00:00 AM,13.15,36.79,,,,,
230,11/24/21 06:30:00 AM,13.32,36.68,,,,,
231,11/24/21 07:00:00 AM,13.19,36.64,,,,,
232,11/24/21 07:30:00 AM,13.10,36.68,,,,,
233,11/24/21 08:00:00 AM,13.16,36.64,,,,,
234,11/24/21 08:30:00 AM,12.76,36.97,,,,,
235,11/24/21 09:00:00 AM,12.71,37.04,,,,,
236,11/24/21 09:30:00 AM,12.70,37.08,,,,,
237,11/24/21 10:00:00 AM,12.73,37.11,,,,,
238,11/24/21 10:30:00 AM,12.76,37.18,,,,,
239,11/24/21 11:00:00 AM,12.84,37.22,,,,,
240,11/24/21 11:30:00 AM,13.01,37.29,,,,,
241,11/24/21 12:00:00 PM,13.11,37.33,,,,,
242,11/24/21 12:30:00 PM,13.14,37.51,,,,,
243,11/24/21 01:00:00 PM,13.62,37.90,,,,,
244,11/24/21 01:30:00 PM,13.60,37.94,,,,,
245,11/24/21 02:00:00 PM,13.63,38.01,,,,,
246,11/24/21 02:30:00 PM,13.91,38.23,,,,,
247,11/24/21 03:00:00 PM,13.78,38.01,,,,,
248,11/24/21 03:30:00 PM,13.37,37.80,,,,,
249,11/24/21 04:00:00 PM,13.26,38.05,,,,,
250,11/24/21 04:30:00 PM,13.19,38.16,,,,,
251,11/24/21 05:00:00 PM,13.08,38.16,,,,,
252,11/24/21 05:30:00 PM,12.89,38.08,,,,,
253,11/24/21 06:00:00 PM,12.80,37.80,,,,,
254,11/24/21 06:30:00 PM,12.80,37.44,,,,,
255,11/24/21 07:00:00 PM,12.86,37.26,,,,,
256,11/24/21 07:30:00 PM,12.89,37.11,,,,,
257,11/24/21 08:00:00 PM,12.90,37.08,,,,,
258,11/24/21 08:30:00 PM,12.92,37.08,,,,,
259,11/24/21 09:00:00 PM,12.92,37.04,,,,,
260,11/24/21 09:30:00 PM,12.95,37.11,,,,,
261,11/24/21 10:00:00 PM,12.92,37.15,,,,,
262,11/24/21 10:30:00 PM,12.96,37.22,,,,,
263,11/24/21 11:00:00 PM,12.97,37.22,,,,,
264,11/24/21 11:30:00 PM,12.98,37.26,,,,,
265,11/25/21 12:00:00 AM,12.95,37.29,,,,,
266,11/25/21 12:30:00 AM,12.91,37.29,,,,,
267,11/25/21 01:00:00 AM,12.90,37.26,,,,,
268,11/25/21 01:30:00 AM,12.89,37.18,,,,,
269,11/25/21 02:00:00 AM,12.89,37.18,,,,,
270,11/25/21 02:30:00 AM,12.90,37.18,,,,,
271,11/25/21 03:00:00 AM,12.90,37.15,,,,,
272,11/25/21 03:30:00 AM,12.91,37.15,,,,,
273,11/25/21 04:00:00 AM,12.91,37.15,,,,,
274,11/25/21 04:30:00 AM,12.91,37.22,,,,,
275,11/25/21 05:00:00 AM,12.90,37.11,,,,,
276,11/25/21 05:30:00 AM,12.91,37.08,,,,,
277,11/25/21 06:00:00 AM,12.92,37.04,,,,,
278,11/25/21 06:30:00 AM,12.92,36.97,,,,,
279,11/25/21 07:00:00 AM,12.91,36.86,,,,,
280,11/25/21 07:30:00 AM,12.88,36.79,,,,,
281,11/25/21 08:00:00 AM,12.89,36.75,,,,,
282,11/25/21 08:30:00 AM,12.87,36.72,,,,,
283,11/25/21 09:00:00 AM,12.87,36.68,,,,,
284,11/25/21 09:30:00 AM,12.90,36.54,,,,,
285,11/25/21 10:00:00 AM,12.97,36.50,,,,,
286,11/25/21 10:30:00 AM,12.99,36.54,,,,,
287,11/25/21 11:00:00 AM,13.00,36.68,,,,,
288,11/25/21 11:30:00 AM,13.04,36.64,,,,,
289,11/25/21 12:00:00 PM,13.10,36.61,,,,,
290,11/25/21 12:30:00 PM,13.19,36.57,,,,,
291,11/25/21 01:00:00 PM,13.16,36.57,,,,,
292,11/25/21 01:30:00 PM,13.24,36.50,,,,,
293,11/25/21 02:00:00 PM,13.28,36.50,,,,,
294,11/25/21 02:30:00 PM,13.26,36.46,,,,,
295,11/25/21 03:00:00 PM,13.27,36.43,,,,,
296,11/25/21 03:30:00 PM,13.19,36.32,,,,,
297,11/25/21 04:00:00 PM,13.18,36.28,,,,,
298,11/25/21 04:30:00 PM,13.23,36.21,,,,,
299,11/25/21 05:00:00 PM,13.36,36.21,,,,,
300,11/25/21 05:30:00 PM,13.29,36.14,,,,,
301,11/25/21 06:00:00 PM,13.24,36.10,,,,,
302,11/25/21 06:30:00 PM,13.22,36.07,,,,,
303,11/25/21 07:00:00 PM,13.22,36.00,,,,,
304,11/25/21 07:30:00 PM,13.26,36.00,,,,,
305,11/25/21 08:00:00 PM,13.36,36.00,,,,,
306,11/25/21 08:30:00 PM,13.19,35.92,,,,,
307,11/25/21 09:00:00 PM,13.13,35.89,,,,,
308,11/25/21 09:30:00 PM,13.16,35.89,,,,,
309,11/25/21 10:00:00 PM,13.16,35.85,,,,,
310,11/25/21 10:30:00 PM,13.18,35.85,,,,,
311,11/25/21 11:00:00 PM,13.36,35.78,,,,,
312,11/25/21 11:30:00 PM,13.43,35.89,,,,,
313,11/26/21 12:00:00 AM,13.36,35.89,,,,,
314,11/26/21 12:30:00 AM,13.34,35.89,,,,,
315,11/26/21 01:00:00 AM,13.26,35.96,,,,,
316,11/26/21 01:30:00 AM,13.10,35.92,,,,,
317,11/26/21 02:00:00 AM,13.05,35.92,,,,,
318,11/26/21 02:30:00 AM,13.10,35.92,,,,,
319,11/26/21 03:00:00 AM,13.15,35.89,,,,,
320,11/26/21 03:30:00 AM,13.16,35.89,,,,,
321,11/26/21 04:00:00 AM,13.11,36.03,,,,,
322,11/26/21 04:30:00 AM,12.88,36.07,,,,,
323,11/26/21 05:00:00 AM,12.74,36.14,,,,,
324,11/26/21 05:30:00 AM,12.81,36.14,,,,,
325,11/26/21 06:00:00 AM,12.68,36.21,,,,,
326,11/26/21 06:30:00 AM,12.74,36.10,,,,,
327,11/26/21 07:00:00 AM,12.72,36.14,,,,,
328,11/26/21 07:30:00 AM,12.70,36.07,,,,,
329,11/26/21 08:00:00 AM,12.68,36.03,,,,,
330,11/26/21 08:30:00 AM,12.70,35.74,,,,,
331,11/26/21 09:00:00 AM,13.23,34.34,,,,,
332,11/26/21 09:30:00 AM,13.45,33.76,,,,,
333,11/26/21 10:00:00 AM,13.39,33.62,,,,,
334,11/26/21 10:30:00 AM,13.28,34.30,,,,,
335,11/26/21 11:00:00 AM,13.44,34.16,,,,,
336,11/26/21 11:30:00 AM,13.84,33.80,,,,,
337,11/26/21 12:00:00 PM,13.81,33.84,,,,,
338,11/26/21 12:30:00 PM,13.93,33.76,,,,,
339,11/26/21 01:00:00 PM,13.96,33.76,,,,,
340,11/26/21 01:30:00 PM,14.05,33.69,,,,,
341,11/26/21 02:00:00 PM,14.16,33.73,,,,,
342,11/26/21 02:30:00 PM,14.43,33.66,,,,,
343,11/26/21 03:00:00 PM,14.45,33.69,,,,,
344,11/26/21 03:30:00 PM,14.60,33.69,,,,,
345,11/26/21 04:00:00 PM,14.63,33.66,,,,,
346,11/26/21 04:30:00 PM,14.72,33.66,,,,,
347,11/26/21 05:00:00 PM,14.77,33.62,,,,,
348,11/26/21 05:30:00 PM,15.09,33.73,,,,,
349,11/26/21 06:00:00 PM,15.11,33.66,,,,,
350,11/26/21 06:30:00 PM,14.88,33.58,,,,,
351,11/26/21 07:00:00 PM,15.14,33.69,,,,,
352,11/26/21 07:30:00 PM,15.04,33.94,,,,,
353,11/26/21 08:00:00 PM,14.89,33.84,,,,,
354,11/26/21 08:30:00 PM,14.85,33.69,,,,,
355,11/26/21 09:00:00 PM,14.92,33.62,,,,,
356,11/26/21 09:30:00 PM,14.89,33.55,,,,,
357,11/26/21 10:00:00 PM,14.90,33.48,,,,,
358,11/26/21 10:30:00 PM,14.90,33.51,,,,,
359,11/26/21 11:00:00 PM,14.84,33.58,,,,,
360,11/26/21 11:30:00 PM,14.80,33.44,,,,,
361,11/27/21 12:00:00 AM,14.79,33.37,,,,,
362,11/27/21 12:30:00 AM,14.75,33.69,,,,,
363,11/27/21 01:00:00 AM,14.64,33.80,,,,,
364,11/27/21 01:30:00 AM,14.77,33.55,,,,,
365,11/27/21 02:00:00 AM,14.84,34.09,,,,,
366,11/27/21 02:30:00 AM,14.92,34.52,,,,,
367,11/27/21 03:00:00 AM,14.72,34.23,,,,,
368,11/27/21 03:30:00 AM,14.68,34.12,,,,,
369,11/27/21 04:00:00 AM,14.76,33.91,,,,,
370,11/27/21 04:30:00 AM,14.60,33.62,,,,,
371,11/27/21 05:00:00 AM,14.76,33.94,,,,,
372,11/27/21 05:30:00 AM,14.76,34.16,,,,,
373,11/27/21 06:00:00 AM,14.70,34.27,,,,,
374,11/27/21 06:30:00 AM,14.71,34.38,,,,,
375,11/27/21 07:00:00 AM,14.63,34.38,,,,,
376,11/27/21 07:30:00 AM,14.73,34.41,,,,,
377,11/27/21 08:00:00 AM,14.65,34.41,,,,,
378,11/27/21 08:30:00 AM,14.62,34.45,,,,,
379,11/27/21 09:00:00 AM,14.65,34.52,,,,,
380,11/27/21 09:30:00 AM,14.61,34.63,,,,,
381,11/27/21 10:00:00 AM,14.63,34.70,,,,,
382,11/27/21 10:30:00 AM,14.79,34.77,,,,,
383,11/27/21 11:00:00 AM,14.77,34.81,,,,,
384,11/27/21 11:30:00 AM,14.63,34.59,,,,,
385,11/27/21 12:00:00 PM,13.90,33.91,,,,,
386,11/27/21 12:30:00 PM,13.78,33.76,,,,,
387,11/27/21 01:00:00 PM,13.81,33.87,,,,,
388,11/27/21 01:30:00 PM,13.81,33.98,,,,,
389,11/27/21 02:00:00 PM,13.78,34.12,,,,,
390,11/27/21 02:30:00 PM,13.78,34.23,,,,,
391,11/27/21 03:00:00 PM,13.79,34.27,,,,,
392,11/27/21 03:30:00 PM,13.85,34.30,,,,,
393,11/27/21 04:00:00 PM,13.87,34.34,,,,,
394,11/27/21 04:30:00 PM,14.02,34.34,,,,,
395,11/27/21 05:00:00 PM,14.09,34.38,,,,,
396,11/27/21 05:30:00 PM,14.10,34.38,,,,,
397,11/27/21 06:00:00 PM,14.08,34.38,,,,,
398,11/27/21 06:30:00 PM,14.05,34.38,,,,,
399,11/27/21 07:00:00 PM,14.01,34.34,,,,,
400,11/27/21 07:30:00 PM,13.98,34.41,,,,,
401,11/27/21 08:00:00 PM,13.92,34.38,,,,,
402,11/27/21 08:30:00 PM,13.89,34.38,,,,,
403,11/27/21 09:00:00 PM,13.87,34.38,,,,,
404,11/27/21 09:30:00 PM,13.85,34.38,,,,,
405,11/27/21 10:00:00 PM,13.75,34.45,,,,,
406,11/27/21 10:30:00 PM,13.66,34.41,,,,,
407,11/27/21 11:00:00 PM,13.65,34.48,,,,,
408,11/27/21 11:30:00 PM,14.21,34.99,,,,,
409,11/28/21 12:00:00 AM,15.06,35.17,,,,,
410,11/28/21 12:30:00 AM,15.23,35.24,,,,,
411,11/28/21 01:00:00 AM,15.26,35.31,,,,,
412,11/28/21 01:30:00 AM,15.31,35.31,,,,,
413,11/28/21 02:00:00 AM,15.19,35.35,,,,,
414,11/28/21 02:30:00 AM,15.17,35.38,,,,,
415,11/28/21 03:00:00 AM,14.99,35.38,,,,,
416,11/28/21 03:30:00 AM,14.91,35.42,,,,,
417,11/28/21 04:00:00 AM,14.82,35.24,,,,,
418,11/28/21 04:30:00 AM,13.09,35.10,,,,,
419,11/28/21 05:00:00 AM,13.00,34.88,,,,,
420,11/28/21 05:30:00 AM,12.87,34.74,,,,,
421,11/28/21 06:00:00 AM,12.82,34.59,,,,,
422,11/28/21 06:30:00 AM,12.96,34.45,,,,,
423,11/28/21 07:00:00 AM,13.01,34.23,,,,,
424,11/28/21 07:30:00 AM,12.58,34.63,,,,,
425,11/28/21 08:00:00 AM,12.54,34.81,,,,,
426,11/28/21 08:30:00 AM,13.89,34.92,,,,,
427,11/28/21 09:00:00 AM,14.44,34.92,,,,,
428,11/28/21 09:30:00 AM,13.85,34.92,,,,,
429,11/28/21 10:00:00 AM,14.47,34.92,,,,,
430,11/28/21 10:30:00 AM,14.15,34.66,,,,,
431,11/28/21 11:00:00 AM,13.79,34.70,,,,,
432,11/28/21 11:30:00 AM,13.37,34.92,,,,,
433,11/28/21 12:00:00 PM,13.39,34.92,,,,,
434,11/28/21 12:30:00 PM,13.29,34.95,,,,,
435,11/28/21 01:00:00 PM,13.73,34.77,,,,,
436,11/28/21 01:30:00 PM,14.07,34.59,,,,,
437,11/28/21 02:00:00 PM,14.07,34.59,,,,,
438,11/28/21 02:30:00 PM,13.94,34.56,,,,,
439,11/28/21 03:00:00 PM,13.94,34.56,,,,,
440,11/28/21 03:30:00 PM,13.90,34.59,,,,,
441,11/28/21 04:00:00 PM,13.98,34.63,,,,,
442,11/28/21 04:30:00 PM,13.99,34.66,,,,,
443,11/28/21 05:00:00 PM,16.48,36.18,,,,,
444,11/28/21 05:30:00 PM,16.69,36.46,,,,,
445,11/28/21 06:00:00 PM,16.74,36.54,,,,,
446,11/28/21 06:30:00 PM,16.39,36.46,,,,,
447,11/28/21 07:00:00 PM,16.48,36.43,,,,,
448,11/28/21 07:30:00 PM,16.47,36.32,,,,,
449,11/28/21 08:00:00 PM,16.59,36.36,,,,,
450,11/28/21 08:30:00 PM,16.47,36.46,,,,,
451,11/28/21 09:00:00 PM,16.41,36.50,,,,,
452,11/28/21 09:30:00 PM,16.39,36.54,,,,,
